Codigo,Código Barra 1,Código Barra 2,Producto nombre 1,Producto nombre 2,precio por caja,precio por paquete,Categoria,creador
5964,6960037162642,,匀净美肌6色,Corrector Liquido  6 Colores,1200.000,1450.000,唇彩,
5163,6960037151639,,晚棠 月落6色,Brillo de Labios Efecto Cremoso  6 Colores,850.000,1050.000,唇彩,
A5249,6960037152490,,半盏烟红6色,Brillo de Labios Velvet Matte  6 Colores,880.000,1100.000,唇彩,
5132,6960037151325,,冷糯柔雾6色,Brillo de Labios Matte  6 Colores,850.000,1050.000,唇彩,
A5219,6960037152193,,润唇调色盘单色,Aceite De Labios De Uva,1000.000,1200.000,唇彩,
5175,6960037551750,,果味小仙女单色,Aceite De Labios Con Glitter,850.000,1050.000,唇彩,
5212,6960037152124,,甜心萌物酱6色,Brillo de Labios Salsa Dulce  6 Colores,900.000,1100.000,唇彩,
5216,6960037152162,,雾屿暮烟6色,Brillo de Labios Juicy Efecto Matte  6 Colores,850.000,1050.000,唇彩,
5051,6960037150519,,小桃釉6色,Brillo de Labios Cremoso Efecto Matte  6 Colores,850.000,1050.000,唇彩,
5147,6960037151479,,暮色灼红6色,Brilo De Labios Rojo Crepúsculo  6 Colores,850.000,1050.000,唇彩,
5045,6960037150458,,夜酒野莓6色,Brillo De Labios Baya Nocturna  6 Colores,800.000,1000.000,唇彩,
5992,6960037163236,,粉嫩小魔杖8色,Brillo De Labios Pink Magic Wands  8 Colores,680.000,850.000,唇彩,
5991,6960037163236,,赤序凛绒8色,Brillo De Labios  8 Colores,680.000,850.000,唇彩,
5067,6960037150670,,焰绒烟棕8色,Brillo De Labios  8 Colores,680.000,850.000,唇彩,
J8045,6960037180455,,捷影绒翘单色,Mascara De Pestañas,900.000,1100.000,睫毛膏,
J8033,6960037180332,,捷上烟眸单色,Mascara De Pestañas,900.000,1100.000,睫毛膏,
J8054,6960037180547,,羽黛轻翘单色,Mascara De Pestañas,880.000,1100.000,睫毛膏,
J8052,6960037180523,,远山捷影单色,Mascara De Pestañas,900.000,1100.000,睫毛膏,
J8032,6960037180325,,利落羽捷单色,Mascara De Pestañas,880.000,1100.000,睫毛膏,
J8041,6960037180417,,云捷松烟单色,Mascara De Pestañas,900.000,1100.000,睫毛膏,
J8058,6960037180585,,黛影飒捷单色,Mascara De Pestañas,890.000,1100.000,睫毛膏,
PD0392,6971383700396,,冰闪月粼4色,Iluminador en Polvo  4 Colores,1200.000,1450.000,高光腮红修容遮瑕,
PD018,6971383700020,,清透锁妆4色,Polvo Compacto  4 Colores,1500.000,1800.000,粉饼,
PD019,6971383703212,,冰肌雾感4色,Rubor en Polvo  4 Colores,1300.000,1600.000,高光腮红修容遮瑕,
Y1102,6960037511020,,墨痕描边—单色,Delineador de Ojos,650.000,800.000,眼线笔,
Y1103,6960037511037,,烟影入眸单色,Delineador de Ojos,650.000,800.000,眼线笔,
Y1113,6960037511136,,黛影墨染单色,Delineador de Ojos,650.000,800.000,眼线笔,
Y1110,6960037111107,,眉笔云眉柔峰2色,Lapiz de Cejas  2 Colores,650.000,800.000,眼线笔,
Y1108,6960037511082,,月染眸线单色,Delineador de Ojos Moonlight,650.000,800.000,眼线笔,
Y1135,6960037011353,,素烟柔线12色,Delineador de Labios  12 Colores,680.000,850.000,唇线笔,
Y1117,6960037011179,,唇型诗12色,Delineador de Labios  12 Colores,680.000,850.000,唇线笔,
5204,6960037152049,,月烟录10,Set de Maquillaje de 10pcs,12000.000,14400.000,粉色,
5205,6960037152056,,全妆雅集11,Set de Maquillaje de 11pcs,12000.000,14400.000,粉色,
SD40169,6942349740169,,SADOER西柚维生素B1补水精华40ml,Serum Facial De Pomelo Con Vitamina B1 De 40ml,1100.000,1350.000,精华,
SD40145,6942349740145,,SADOER蓝莓维生素E紧致保湿精华40ml,Serum Facial De Arándanos Con Vitamina E De 40ml,1100.000,1350.000,精华,
SD40114,6942349740114,,SADOER橙子维生素C美白精华40ml,Serum Facial De Naranja Con Vitamina C De 40ml,1100.000,1350.000,精华,
SD49438,6942349749438,,SADOER胡须护理油55ml,Aceite Para El Crecimiento De La Barba De 55ml,1300.000,1600.000,精华,
SD75628,6942349775628,,SADOER积雪草舒缓精华液40ml,Serum Facial Calmante de Centella Asiática 4en1 De 40ml,980.000,1200.000,精华,
SD51691,6942349751691,,SADOER玻尿酸保湿精华液40ml,Serum Facial Calmante de Centella Asiática 4en1 De 40ml,980.000,1200.000,精华,
SD51684,6942349751684,,SADOER烟酰胺光泽精华液40ml,Serum Facial Calmante de Centella Asiática 4en1 De 40ml,980.000,1200.000,精华,
SD75611,6942349775611,,SADOER维生素C抗氧化精华液40ml,Serum Facial Antioxidante Con Vitamina C De 40ml,980.000,1200.000,精华,
SD12029,6942349712029,,SADOER有机牛油果抗皱精华液（新）30ml,Serum Facial Antiarrugas De Aguacate Orgánico De 30ml,750.000,900.000,精华,
SD79718,6942349779718,,SADOER70%大米精华美白修护精华液30ml,Serum Blanqueador y Reparador Con Extracto De Arroz Al 70% De 30ml,750.000,900.000,精华,
BQY86587,6942349786587,,BIOAQUA重组III型胶原蛋白活肤精华液30ml,Serum Revitalizante De Colágeno Recombinante Tipo 3 De 30ml,1200.000,1450.000,精华,
SD84545,6942349784545,,SADOER白莲香氛沐浴露1000ml,Gel de Ducha Con Perfume De Loto Blanco De 1000ml,2800.000,3400.000,沐浴露,
SD84552,6942349784552,,SADOER鸢尾香氛沐浴露1000ml,Gel de Ducha Con Perfume De Iris De 1000ml,2800.000,3400.000,沐浴露,
SD84569,6942349784569,,SADOER黑莓香氛沐浴露1000ml,Gel de Ducha Con Perfume De Moras De 1000ml,2800.000,3400.000,沐浴露,
SD84576,6942349784576,,SADOER白檀玫瑰香氛沐浴露1000ml,Gel de Ducha Con Perfume De Sándalo y Rosas De 1000ml,2800.000,3400.000,沐浴露,
SD84590,6942349784590,,SADOER橄榄香氛沐浴露1000ml,Gel de Ducha Con Perfume De Oliva De 1000ml,2800.000,3400.000,沐浴露,
SD84583,6942349784583,,SADOER椰子香氛沐浴露1000ml,Gel de Ducha Con Perfume De Coco De 1000ml,2800.000,3400.000,沐浴露,
SD14429,6942349714429,,SADOER防脱洗发水300ml,Shamppo Anticaída de 300ml,1800.000,2200.000,洗发水护发素,
SD9143,6976623809143,,SADOER防干裂凡士林牛油果修复棒（新）40g,Barra Reparadora y Antigrietas de Aguacate y Vaselina 40g,1100.000,1350.000,手足防裂棒,
BQY3966,6942445803966,,BIOAQUA椰子提拉米酥蛋糕手足防干裂棒40g,Barra Hidratante y Reparadora De Coco Para Manos y Pies 40g,980.000,1200.000,手足防裂棒,
BQY3980,6942445803980,,BIOAQUA香草冰淇淋蛋糕手足防干裂棒40g,Barra Hidratante y Reparadora De Helado De Vainilla Para Manos y Pies 40g,980.000,1200.000,手足防裂棒,
BQY3775,6942445803775,,BIOAQUA水蜜桃马卡龙蛋糕手足防干裂棒40g,Barra Hidratante y Reparadora De Macaron De Durazno Para Manos y Pies 40g,980.000,1200.000,手足防裂棒,
SD2839,6942445802839,,SADOER草莓VC手足保湿防裂棒40g,Barra Hidratante y Reparadora De Fresa y Vitamina C Para Manos y Pies 40g,980.000,1200.000,手足防裂棒,
SD00334,6942581700334,,SADOER尿素防干裂滋润足霜110g,Crema Hidratante Antigritas Con Urea Para Pies 110g,1500.000,1800.000,脚霜,
SD87051,6976504687051,,SADOER视黄醇抗初老紧致面霜50g,Crema Reafirmante Antiedad De Retinol 50g,1500.000,1800.000,面霜,
SD40985,6942349740985,,SADOER有机牛油果丝滑保湿霜新50g,Crema Hidratante De Aguacate Orgánico De 50g,1500.000,1800.000,面霜,
SD11400,6978775511400,,SADOER樱花胶原蛋白滋养珍珠霜50g,Crema Nutritiva De Perlas Con Colágeno Y Flor De Cerezo De 50g,1500.000,1800.000,面霜,
SD77981,6942349777981,,SADOER70%大米精华美白洁面乳100g,Limpiador Facial Blanqueador Con 70% De Extracto de Arroz De 100g,950.000,1150.000,洗面奶,
